fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,weight_class_rank,gender,result,result_details,finish_round,finish_time,fight_url
1,1,"John McCarthy",2485,807,2485,NULL,F,"Open Weight",,M,Submission,"Guillotine Choke From Mount",1,0:20,http://ufcstats.com/fight-details/4acab67848e78327
2,1,"John McCarthy",3429,3959,3429,NULL,F,"Open Weight",,M,Submission,"Guillotine Choke Standing",1,0:58,http://ufcstats.com/fight-details/4b9ae533ccb3fcdf
3,1,"John McCarthy",3013,2047,3013,NULL,F,"Open Weight",,M,KO/TKO,"Punches to Head From Guard
      Submission to Strikes",1,2:13,http://ufcstats.com/fight-details/ccee020be2e8d9f6
4,1,"John McCarthy",1431,2131,1431,NULL,F,"Open Weight",,M,Submission,"Keylock From Half Guard",1,4:52,http://ufcstats.com/fight-details/d917c8c7461b9831
5,1,"John McCarthy",3926,2122,3926,NULL,F,"Open Weight",,M,KO/TKO,"to    
      Corner Stoppage",1,2:50,http://ufcstats.com/fight-details/3b020d4914b44fc8
6,1,"John McCarthy",2750,2034,2750,NULL,F,"Open Weight",,M,Submission,"Ezekiel Choke From Side Control",1,9:51,http://ufcstats.com/fight-details/17ee4caf06981b81
7,1,"John McCarthy",855,227,855,NULL,F,"Open Weight",,M,Submission,"Triangle Choke From Mount",1,6:41,http://ufcstats.com/fight-details/c53325be8ce33b8b
8,1,"John McCarthy",1338,1626,1338,NULL,F,"Open Weight",,M,Submission,"Armbar On Ground",1,5:08,http://ufcstats.com/fight-details/fcd8e8ec45eb6b9f
9,1,"John McCarthy",3429,2485,3429,NULL,F,"Open Weight",,M,KO/TKO,"Elbows to Head From Mount",1,0:30,http://ufcstats.com/fight-details/8ea72cf82fac07f6
10,1,"John McCarthy",3013,1046,3013,NULL,F,"Open Weight",,M,Submission,"Bulldog Choke On Ground",1,3:07,http://ufcstats.com/fight-details/b72acedda7ddc006
11,1,"John McCarthy",2750,3926,2750,NULL,F,"Open Weight",,M,KO/TKO,"Elbows to Head From Side Control",1,1:29,http://ufcstats.com/fight-details/c4aa04781989699e
12,1,"John McCarthy",1338,855,1338,NULL,F,"Open Weight",,M,Submission,"Armbar From Mount",1,1:07,http://ufcstats.com/fight-details/5655639baecd8f6a
13,1,"John McCarthy",3429,3013,3429,NULL,F,"Open Weight",,M,Submission,"Guillotine Choke Standing",1,1:07,http://ufcstats.com/fight-details/8fbdde20b712b8da
14,1,"John McCarthy",1338,2750,1338,NULL,F,"Open Weight",,M,Submission,"Gi Choke From Back Control",1,1:31,http://ufcstats.com/fight-details/aa161c7159741766
15,1,"John McCarthy",1338,3429,1338,NULL,T,NULL,,M,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,1:17,http://ufcstats.com/fight-details/00835554f95fa911
16,2,"John McCarthy",1414,4005,1414,NULL,F,"Open Weight",,M,KO/TKO,"Punches to Head On Ground",1,1:59,http://ufcstats.com/fight-details/8887948f0c097cd8
17,2,"John McCarthy",3332,2030,3332,NULL,F,"Open Weight",,M,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,4:49,http://ufcstats.com/fight-details/56315d5ac11594a5
18,2,"John McCarthy",1599,2786,1599,NULL,F,"Open Weight",,M,KO/TKO,"Punches to Head In Clinch",1,0:46,http://ufcstats.com/fight-details/ca837b002a318766
19,2,"John McCarthy",1338,2038,1338,NULL,F,"Open Weight",,M,Submission,"Armbar From Bottom Guard",1,4:40,http://ufcstats.com/fight-details/f65b000b7e450bcf
20,2,"John McCarthy",3332,2412,3332,NULL,F,"Open Weight",,M,Submission,"Rear Naked Choke",1,4:34,http://ufcstats.com/fight-details/5167a5aec41f8b6d
21,2,"John McCarthy",1702,1599,1702,NULL,T,NULL,,M,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,1:27,http://ufcstats.com/fight-details/323f543eb8abdb36
22,3,"John McCarthy",612,3130,612,NULL,F,"Open Weight",,M,Submission,Armbar,1,0:14,http://ufcstats.com/fight-details/a1db4c917777aa79
23,3,"John McCarthy",390,877,390,NULL,F,"Open Weight",,M,KO/TKO,to,1,4:55,http://ufcstats.com/fight-details/b80e6a799c95d499
24,3,"John McCarthy",2369,1065,2369,NULL,F,"Open Weight",,M,KO/TKO,"to    
      Corner Stoppage",1,2:13,http://ufcstats.com/fight-details/8f8f47a728c3127e
25,3,"John McCarthy",1338,3774,1338,NULL,F,"Open Weight",,M,Submission,"Rear Naked Choke",1,3:49,http://ufcstats.com/fight-details/0b71ada6c9209fc9
26,3,"John McCarthy",1414,3460,1414,NULL,F,"Open Weight",,M,Submission,"Other - Choke From Side Control",1,2:44,http://ufcstats.com/fight-details/ccccc0a22b05eac6
27,3,"John McCarthy",1702,400,1702,NULL,F,"Open Weight",,M,Submission,"Armbar From Mount",1,4:47,http://ufcstats.com/fight-details/7e7d7a488ea21f63
28,3,"John McCarthy",3324,2151,3324,NULL,F,"Open Weight",,M,Submission,"Rear Naked Choke",1,1:45,http://ufcstats.com/fight-details/040ecf01338dff9e
