fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
1,Tom,Aaron,NULL,NULL,155,NULL,NULL,1978-07-13,5,3,0,NULL,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
2,Danny,Abbadi,"The Assassin",180.34,155,NULL,Orthodox,1983-07-03,4,6,0,NULL,http://ufcstats.com/fighter-details/15df64c02b6b0fde
3,Nariman,Abbasov,Bayraktar,172.72,155,167.64,Orthodox,1994-02-01,28,4,0,NULL,http://ufcstats.com/fighter-details/59a9d6dac61c2540
4,David,Abbott,Tank,182.88,265,NULL,Switch,NULL,10,15,0,NULL,http://ufcstats.com/fighter-details/b361180739bed4b0
5,Hamdy,Abdelwahab,"The Hammer",187.96,264,182.88,Southpaw,1993-01-22,5,0,0,1,http://ufcstats.com/fighter-details/3329d692aea4dc28
6,Shamil,Abdurakhimov,Abrek,190.5,235,193.04,Orthodox,1981-09-02,20,8,0,NULL,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
7,Hiroyuki,Abe,"Abe Ani",167.64,145,NULL,Orthodox,NULL,8,15,3,1,http://ufcstats.com/fighter-details/c0ed7b208197e8de
8,Daichi,Abe,NULL,180.34,170,180.34,Orthodox,1991-11-27,6,2,0,NULL,http://ufcstats.com/fighter-details/5140122c3eecd307
9,Papy,Abedi,Makambo,180.34,185,NULL,Southpaw,1978-06-30,10,4,0,NULL,http://ufcstats.com/fighter-details/c9f6385af6df66d7
10,Ricardo,Abreu,Demente,180.34,185,NULL,Orthodox,1984-04-27,5,1,0,NULL,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
11,Klidson,Abreu,"White Bear",182.88,205,187.96,Orthodox,1992-12-24,15,4,0,1,http://ufcstats.com/fighter-details/7279654c7674cd24
12,Cyborg,Abreu,NULL,NULL,NULL,NULL,NULL,1980-12-20,0,0,0,NULL,http://ufcstats.com/fighter-details/f689bd7bbd14b392
13,Daniel,Acacio,NULL,172.72,180,NULL,Orthodox,1977-12-27,30,18,0,NULL,http://ufcstats.com/fighter-details/1c5879330d42255f
14,John,Adajar,"The Outlaw",175.26,170,190.5,Orthodox,1991-06-22,6,2,0,NULL,http://ufcstats.com/fighter-details/989b85f6540c86b1
15,Scott,Adams,NULL,182.88,225,NULL,Southpaw,NULL,8,1,0,NULL,http://ufcstats.com/fighter-details/2620f3eb21c79614
16,Juan,Adams,"The Kraken",195.58,265,203.2,Orthodox,1992-01-16,5,3,0,NULL,http://ufcstats.com/fighter-details/83b00f7597e5ac83
17,Anthony,Adams,Sugafoot,185.42,185,193.04,Orthodox,1988-01-13,8,2,0,NULL,http://ufcstats.com/fighter-details/a77633a989013265
18,Zarrukh,Adashev,"The Lion",165.1,125,165.1,Southpaw,1992-07-29,4,4,0,NULL,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
19,Israel,Adesanya,"The Last Stylebender",193.04,185,203.2,Switch,1989-07-22,24,2,0,NULL,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
20,Sam,Adkins,"The Experience",190.5,225,NULL,Orthodox,1965-04-26,7,20,2,NULL,http://ufcstats.com/fighter-details/0e9869d712e81f8f
